"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"3066",3066,"e82182f9-ea44-5149-bc11-42f1e76144f5","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,1,4,1,1,5,5,3,5,4,3,2,1,1,1.28,770,590,1360,NA,1,3.2,1,0
"3067",3067,"e82bf5e9-bfd7-52ed-a151-c35a2f0c8ce3","student","CSE142",3,3,"CSE143",1,"DNA","M","CAUCASN",NA,4,3,2,1,2,3,3,3,5,4,3,1,1,3.77,760,720,1480,NA,3,3.3,3,2.6
"3068",3068,"e84df9c0-940b-57b7-acf5-ab5af5c43a96","student","CSE142",2,1,"NA143",1,"DNA","M","NOT IND",NA,3,3,2,1,5,5,4,5,5,3,2,2,1,2.85,510,520,1030,NA,2,3.7,NA,NA
"3069",3069,"e857008c-4eb5-5d62-91dc-bc81b4342283","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,4,3,1,1,4,5,3,4,4,4,1,2,1,3.49,640,680,1320,NA,1,2.6,NA,NA
"3070",3070,"e857734a-479c-5ada-83c4-bae018bf8cd2","student","CSE142",2,1,"NA143",1,"DNA","F","ASIAN",NA,1,3,2,1,3,5,4,4,5,2,4,1,1,2.06,620,660,1280,NA,2,0,NA,NA
"3071",3071,"e8749731-8353-5a68-97cc-6dbfc10924fb","student","CSE142",1,2,"CSE143",1,"Deny","F","CAUCASN",FALSE,3,2,3,1,3,3,4,4,3,4,3,1,1,3.24,595,NA,NA,2,1,3.5,2,2.7
"3072",3072,"e87737c7-802b-5ae5-b10a-c126da1004db","student","CSE142",2,1,"NA143",1,"DNA","F","ASIAN",NA,4,3,1,1,3,5,4,3,4,2,2,1,1,3.76,800,740,1540,NA,2,3.8,NA,NA
"3073",3073,"e8918cdb-fa40-50b8-9d23-5ce5caf0eedb","student","CSE142",1,1,"NA143",1,"DNA","M","AMER-IND",NA,1,4,1,1,5,5,4,4,3,3,2,2,1,2.07,520,460,980,NA,1,2.9,NA,NA
"3074",3074,"e9053915-a4a6-5793-bab4-59e91a0f180b","student","CSE142",3,1,"NA143",1,"DNA","F","AFRO-AM",NA,1,4,1,1,5,4,3,4,4,2,2,1,2,3.57,NA,NA,NA,NA,3,2.2,NA,NA
"3075",3075,"e91149f0-3c9c-5595-bb29-6b7f8b29cd34","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,4,3,5,3,4,1,2,2,3.18,700,720,1420,NA,2,3.3,2,2.8
